metabolite_id,name,pathway,formula
C00031,Glucose,Glycolysis,C6H12O6
C00668,Glucose-6P,Glycolysis,C6H13O9P
C01095,Fructose-6P,Glycolysis,C6H13O9P
C05378,"Fructose-1,6BP",Glycolysis,C6H14O12P2
C00118,G3P,Glycolysis,C3H7O6P
C00197,3-PG,Glycolysis,C3H7O7P
C00631,2-PG,Glycolysis,C3H7O7P
C00074,PEP,Glycolysis,C3H5O6P
C00022,Pyruvate,Glycolysis,C3H4O3
C00024,Acetyl-CoA,Shared,C23H38N7O17P3S
C00036,Oxaloacetate,TCA,C4H4O5
C00158,Citrate,TCA,C6H8O7
C00311,Isocitrate,TCA,C6H8O7
C00026,2-Oxoglutarate,TCA,C5H6O5
C00091,Succinyl-CoA,TCA,C25H40N7O19P3S
C00042,Succinate,TCA,C4H6O4
C00122,Fumarate,TCA,C4H4O4
C00149,Malate,TCA,C4H6O5
C00345,6PG,PPP,C6H13O10P
C01236,Ru5P,PPP,C5H11O8P
C00231,X5P,PPP,C5H11O8P
C00117,R5P,PPP,C5H11O8P
C00279,E4P,Shared,C4H9O7P
