source,target,reaction_id,enzyme,reversible,delta_G
C00031,C00668,R00299,HK,False,-16.7
C00668,C01095,R00771,PGI,True,2.2
C01095,C05378,R04779,PFK,False,-14.2
C05378,C00118,R01070,Aldolase,True,23.9
C00118,C00197,R01512,GAPDH,True,6.3
C00197,C00631,R01518,PGM,True,4.4
C00631,C00074,R00658,Enolase,True,-3.2
C00074,C00022,R00200,PK,False,-31.4
C00022,C00024,R00209,PDH,False,-33.4
C00024,C00158,R00351,CS,False,-32.2
C00158,C00311,R01325,Aconitase,True,13.3
C00311,C00026,R00709,IDH,False,-21.0
C00026,C00091,R08549,OGDH,False,-30.0
C00091,C00042,R00405,SCS,True,-2.9
C00042,C00122,R02164,SDH,False,0.0
C00122,C00149,R01082,Fumarase,True,-3.5
C00149,C00036,R00342,MDH,True,29.7
C00036,C00158,R00351,CS,False,-32.2
C00668,C00345,R01528,G6PDH,False,-17.6
C00345,C01236,R01528,6PGDH,False,-21.0
C01236,C00231,R01529,RPE,True,-1.0
C01236,C00117,R01529,RPI,True,0.8
C00022,C00036,R00217,PC,False,-19.5
C00279,C01095,R01067,TKT,True,0.5
