sample_id,condition,cancer_type
T000,tumor,BRCA
T001,tumor,COAD
T002,tumor,LUAD
T003,tumor,LUAD
T004,tumor,LUAD
T005,tumor,COAD
T006,tumor,BRCA
T007,tumor,COAD
T008,tumor,BRCA
T009,tumor,BRCA
T010,tumor,LUAD
T011,tumor,COAD
T012,tumor,COAD
T013,tumor,COAD
T014,tumor,COAD
T015,tumor,COAD
T016,tumor,LUAD
T017,tumor,BRCA
T018,tumor,COAD
T019,tumor,LUAD
T020,tumor,LUAD
T021,tumor,LUAD
T022,tumor,BRCA
T023,tumor,COAD
T024,tumor,COAD
T025,tumor,LUAD
T026,tumor,LUAD
T027,tumor,COAD
T028,tumor,LUAD
T029,tumor,LUAD
T030,tumor,LUAD
T031,tumor,BRCA
T032,tumor,BRCA
T033,tumor,LUAD
T034,tumor,COAD
T035,tumor,BRCA
T036,tumor,COAD
T037,tumor,COAD
T038,tumor,BRCA
T039,tumor,LUAD
N000,normal,BRCA
N001,normal,COAD
N002,normal,COAD
N003,normal,LUAD
N004,normal,BRCA
N005,normal,COAD
N006,normal,LUAD
N007,normal,COAD
N008,normal,COAD
N009,normal,COAD
N010,normal,COAD
N011,normal,BRCA
N012,normal,LUAD
N013,normal,LUAD
N014,normal,LUAD
N015,normal,BRCA
N016,normal,LUAD
N017,normal,BRCA
N018,normal,COAD
N019,normal,COAD
