species,decimalLatitude,decimalLongitude,year,country,basisOfRecord
Panthera leo,2.7396,36.9499,1999,KEN,PRESERVED_SPECIMEN
Panthera leo,-4.0582,41.7806,2017,KEN,PRESERVED_SPECIMEN
Panthera leo,2.8606,34.153,2016,KEN,HUMAN_OBSERVATION
Panthera leo,4.2676,38.7948,1999,KEN,PRESERVED_SPECIMEN
Panthera leo,-0.5659,35.0451,1984,KEN,HUMAN_OBSERVATION
Panthera leo,3.2763,38.685,2004,KEN,PRESERVED_SPECIMEN
Panthera leo,-1.4547,41.7363,1999,KEN,PRESERVED_SPECIMEN
Panthera leo,-3.0536,37.2005,2019,KEN,HUMAN_OBSERVATION
Panthera leo,-3.4571,39.1474,2020,KEN,MACHINE_OBSERVATION
Panthera leo,-1.7417,36.3341,2012,KEN,HUMAN_OBSERVATION
Panthera leo,-3.1053,34.1693,2010,KEN,HUMAN_OBSERVATION
Panthera leo,1.6981,36.9344,2000,KEN,PRESERVED_SPECIMEN
Panthera leo,2.0027,35.8113,2013,KEN,PRESERVED_SPECIMEN
Panthera leo,-1.1252,35.595,2016,KEN,PRESERVED_SPECIMEN
Panthera leo,-3.6025,34.7992,2015,KEN,PRESERVED_SPECIMEN
Panthera leo,1.6485,39.3465,1980,KEN,PRESERVED_SPECIMEN
Panthera leo,-0.4108,38.1187,1981,KEN,HUMAN_OBSERVATION
Panthera leo,1.684,37.2399,1986,KEN,HUMAN_OBSERVATION
Panthera leo,2.65,38.7125,2004,KEN,HUMAN_OBSERVATION
Panthera leo,-1.9605,33.2774,2004,KEN,HUMAN_OBSERVATION
Panthera leo,-2.8542,36.6768,2023,KEN,HUMAN_OBSERVATION
Panthera leo,-4.417,35.5325,2017,KEN,HUMAN_OBSERVATION
Panthera leo,1.6192,38.0133,2002,KEN,PRESERVED_SPECIMEN
Panthera leo,-0.9361,40.3262,2014,KEN,HUMAN_OBSERVATION
Panthera leo,-4.7729,33.8104,2013,KEN,HUMAN_OBSERVATION
